Alimento,Medida Usual,g ou mL,CHO (g),kcal
Bala de caramelo,unidade,6,5,27
Batata smiles Mccain®,01 unidade,21,7,42
Brigadeiro,01 unidade médio,30,16,103
Cachorro-quente (média),unidade,125,31,330
Chiclete sabor sortido Bubbaloo®,unidade,5,4,16
Cookie chocolate (Subway®),unidade,33,29,210
Coxinha de frango,unidade grande,110,40,487
Croissant de chocolate,unidade pequena,57,24,237
Croissant de queijo,unidade média,80,32,328
Enrolado de presunto e queijo,unidade média,40,15,114
Esfiha de carne fechada,unidade média,80,29,203
Hamburguer simples,,unidade,29,245
Misto-quente,unidade,85,29,283
Nuggets de frango tradicional Sadia®,unidade,25,3,53
Pão de queijo,unidade pequena,20,9,87
Pirulito,unidade,20,19,74
Salada de frutas,01 potinho pequeno,120,18,65
Sanduíche de atum,unidade média,120,33,372
