Alimento,Medida Usual,g ou mL,CHO (g),kcal
Abobrinha recheada,unidade,100,6,89
Ataif,porção,100,13,124
Quibe cru,porcao,100,20,126
Kafta na bandeja (Habib’s®),porção,250,14,300
Mjadra,1 porção,52,52,314
Babaganuche,1 porção,100,6,84
Quibe assado,porção,100,15,172
Beirute Habib’s®,unidade,415,51,714
Michui de Filé Mingnon,1 porção,100,2,88
Michui de Frango,1 porção,100,2,90
Bekleua,1 porção,100,20,290
Melabie,1 porção,100,25,162
Arroz sírio,colher de servir arroz,45,13,69
Fatouche,1 porção,100,5,163
Falafel,1 porção,100,38,152
Salada Almanara®,porção,100,12,293
Salada Agadir,porção,100,3,"167,23"
Charutinho de folha de uva,porcao,100,3,99
Charutinho de repolho,porcao,100,2,67
Pão sírio Pita Bread®,unidade média,58,33,158
Coalhada seca natural Alibey ®,colher de sopa,15,1,19
Esfiha de calabresa (Habib’s®),unidade,75,17,130
Esfiha de carne aberta,unidade,75,18,125
Esfiha de carne fechada,unidade média,80,29,203
Esfiha de espinafre (Habib’s®),unidade,80,17,122
Esfiha de frango (Habib’s®),unidade,75,18,115
"Esfiha folhada de cheddar com pepperoni
(Habib’s®)",unidade,55,11,201
Esfiha folhada de chocolate (Habib’s®),unidade,45,16,199
"Esfiha folhada de chocolate com M&M’s®
(Habib’s)",unidade,65,28,295
Arroz com lentilha,colher de servir arroz,45,12,71
Homus,colher de sopa cheia,30,14,94
Homus (Habib’s®),porção,240,34,360
