Alimento,Medida Usual,g ou mL,CHO (g),kcal
Alfajor recheado com doce de leite,unidade,25,15,98
Alfajor ao leite Cacau Show®,unidade,40,23,120
Algodão Doce,unidade,30,30,116
Algodão doce tuti - frutti Snow Sugar®,1/2 chícara de chá,5,5,20
Algodão doce uva Snow Sugar®,1/2 chícara de chá,5,5,20
Bala de coco (industrializada) Junco®,unidade,5,5,20
Bala de goma,unidade,3,3,11
Bala de mel Arcor®,unidade,6,6,22
Bala Halls®,unidade,3,3,13
Bala de banana,3 unidades,50,12,46
Bala Toffe® Chocolate,unidade,6,22,151
Bala de caramelo Embare®,unidade,6,5,27
Banana caramelada,unidade média,50,29,114
"Batata-doce, doce de",colher de sopa cheia,40,24,94
Baton (chocolate ao leite Garoto®),unidade,16,"9,2",86
Beijinho,unidade,25,11,105
Beijinho-de-coco Nestle®,colher de sopa,20,11,63
Bem casado,01 unidade,40,25,160
Bolo de cenoura com chocolate Dr. Oetiker®,fatia média,60,38,227
Bolinho de Chuva,unidade pequena,30,13,81
Chocolate quente com leite (Mc’ Donalds®),copo grande,250,24,178
Creme vegetal de chantilly Vigor®,colher de sopa,20,2,56
Doce de abacaxi,colher de sopa cheia,40,32,130
Doce de abóbora cremoso,colher de sopa cheia,40,22,80
Doce de abóbora e coco,colher de sopa cheia,40,18,83
Doce de arroz de leite,colher de sopa cheia,40,13,66
Doce de batata doce,porção pequena,30,22,121
Doce de buriti,colher de sopa cheia,50,41,165
Doce de cidra,colher de sopa,50,20,81
Doce de coco,colher de sopa cheia,40,21,219
Doce de cupuaçu,colher de sopa,40,30,118
Doce de goiaba,colher de sopa cheia,50,21,86
Doce de goiaba em calda Diet House®,colher de sopa,20,6,23
Doce de laranja azeda,colher de sopa cheia,50,40,153
Doce de laranja Diet House®,colher de sopa,20,2,9
Doce de leite,colher de sopa cheia,40,22,116
Doce de limão,colher de sopa cheia,50,27,107
Doce de mamão verde,colher de sopa,40,19,78
Doce de manga,colher de sopa cheia,50,27,140
Doce de ovos,colher de sopa cheia,40,6,52
Geléia de morango diet,colher de sopa rasa,22,6,25
Goiabada,fatia pequena,40,27,109
Manjar branco,fatia media,90,36,255
Marron-glacê,fatia média,60,35,149
Mousse de chocolate,colher de sopa cheia,25,8,79
Mousse de maracujá,colher de sopa cheia,35,11,100
Língua de gato Kompenhagen®,unidade,6,3,36
Pavê de chocolate branco Amor aos Pedaços®,fatia,60,20,208
Pão de mel doce de leite Cacau Show®,unidade,50,30,190
Pudim de leite,fatia média,50,12,91
Queijadinha de coco,unidade média,35,9,72
Tablete Alpino® Diet,unidade,30,17,143
Torta de limão,fatia pequena,90,34,217
Torta holandesa,porção pequena,60,22,181
