Alimento,Medida Usual,g ou mL,CHO (g),kcal
Pizza Brasileira,fatia média,111,25,268
Pizza Califórnia,fatia média,100,26,213
Pizza de Alcachofra,fatia média,100,21,273
Pizza de atum,fatia média,100,21,258
Pizza de bacon,fatia média,100,22,288
Pizza de bacon com requeijão,fatia média,123,26,244
Pizza de banana com canela,fatia média,100,40,207
Pizza de brigadeiro,fatia média,100,59,402
Pizza de calabresa,fatia média,100,21,240
Pizza de camarão,fatia média,100,21,268
Pizza de champignon,fatia média,100,22,222
Pizza de chocolate ao leite,fatia média,100,54,483
Pizza de chocolate branco,fatia média,100,41,443
Pizza de doce de leite,fatia média,100,51,423
Pizza de Escarola,fatia média,100,22,294
Pizza de frango,fatia média,100,22,229
Pizza de frango com catupiry,fatia média,111,25,274
Pizza de marguerita,fatia média,119,27,274
Pizza de mussarela,fatia média,100,22,278
"Pizza de mussarela de búfala, rúcula e
tomate seco",fatia média,100,22,165
Pizza de palmito com mussarela,fatia média,100,25,220
Pizza de pepperoni,fatia média,102,26,274
Pizza de portuguesa,fatia média,125,24,246
Pizza de Prestígio,fatia média,100,55,420
Pizza de quatro queijos,fatia média,100,27,277
Pizza de Romeu e Julieta,fatia média,100,27,266
Pizza de Rúcula,fatia média,100,22,255
Pizza Napolitana,fatia média,100,20,207
Pizza Toscana,fatia média,100,20,227
Pizza Vegetariana,fatia média,111,22,192
