Alimento,Medida Usual,g ou mL,CHO (g),kcal
Picolé abacaxi Kibon®,unidade,59,16,65
Picolé chicabon Kibon®,unidade,65,19,106
Picolé de coco la frutta Nestlé®,unidade,58,13,90
Picolé de morango la frutta Nestlé®,unidade,60,8,36
Picolé de uva la frutta Nestlé®, unidade,61,15,62
Picolé fruttare limão Kibon®,unidade,58,13,51
Picolé mega clássico Nestlé®,unidade,77,22,238
Picolé mega trufas Nestlé®,unidade,77,27,258
Sorvete massa de morango Nestlé®,bola grande,100,27,186
Sorvete (casquinha) baunilha (Bob’s®),unidade,124,39,220
Sorvete copo light Kibon®,unidade,63,4,39
Sorvete copo sundae morango Kibon®,unidade,84,25,164
Sorvete cornetto brigadeiro Kibon®,unidade,79,23,239
Sorvete cornetto caramelo Kibon®,unidade,75,28,224
Sorvete cornetto crocante Kibon®,unidade,72,27,247
"Sorvete de baunilha c/ cobertura de
chocolate suíço 360g (Smooth’n’ creamy®) -
Kosher for passover",2 unidades,30,16,135
Sorvete de casquinha baunilha (Mc’Donalds®),unidade,,32,192
"Sorvete de casquinha chocolate
(Mc’Donalds®)",unidade,,31,192
Sorvete de casquinha mista (Mc’Donalds®),unidade,,31,192
Sorvete de flocos Nestlé®,bola,60,14,121
Sorvete de frutas,colher de sopa cheia,50,15,63
Sorvete de massa crocante crunch Nestlé®,bola grande,100,36,187
Sorvete de massa de \bacaxi Nestlé®,bola média,80,27,161
Sorvete de massa de chiclete Nestlé®,bola grande,100,25,195
Sorvete de massa de creme Nestlé®,bola média,80,20,144
Sorvete eski -bon Kibon®,unidade,48,12,159
Sorvete eski -bon crocante Kibon®,unidade,49,13,162
Sorvete la fruta Nestlé®,bola grande,100,27,108
Sorvete massa galak Nestlé®,bola média,80,20,162
Sorvete moça doce de leite Nestlé®,bola grande,100,27,181
Sorvete moça fiesta brigadeiro Neslté®,bola grande,100,31,221
Sorvete prestígio Nestlé®,bola grande,100,24,229
Sorvete sedução manjar branco Nestlé®,bola grande,100,27,195
Sorvete sedução mousse chocolate Nestlé®,bola grande,100,36,230
Sorvete sedução romeu e julieta Nestlé®,bola grande,100,29,185
Sorvete sem parar Nestlé®,unidade copo,110,39,217
Sorvete troppo chocolate Nestlé®,unidade,79,25,224
Sorvete troppo crocante Nestlé®,unidade,76,29,229
Sorvete troppo flocos Nestlé®,unidade,76,28,214
Sorvete troppo morango Nestlé®,unidade,79,30,942
