Alimento,Medida Usual,g ou mL,CHO (g),kcal
Arroz com amendoas,colher de servir,60,18,75
Bem casado,01 unidade,40,25,160
Bolo de casamento,01 fatia pequena,75,42,285
Brigadeiro,01 unidade médio,30,16,103
Canapé de capaccio,01 torrada,3,2,20
Cerveja,lata,350,12,143
Docinhos variados (média),01 unidade média,30,16,125
File ao molho madeira,01 unidade pequena,180,12,227
"Patê de Foie Gras, enlatado, defumado",01 colher de cha cheia,8,0,22
Quiche de queijo,01 unidade pequena,30,11,227
Ravióli de carne,escumadeira,50,26,141
Salgadinhos,01 unidade pequena,10,4,44
Salmão grelhado,porção pequena,100,0,171
Steak tartare,01 porção pequena,100,2,199
Uísque,dose,50,0,120
Vinho (média),taça,150,6,26
