Alimento,Medida Usual,g ou mL,CHO (g),kcal
"Alface, lisa, crua",folha média,10,0,1
"Alface, roxa, crua",folha média,10,0,1
Palmito em conserva,colher de sopa cheia,15,1,3
Pepino com casca (picles),1/4 xícara de chá,50,2,12
Polenta frita,pedaço pequeno,20,2,18
Batata inglesa fritta,escumadeira media cheia,65,23,182
Pão de queijo,unidade pequena,20,9,87
Pão francês,unidade,50,29,135
Farofa,colher de sopa cheia,15,12,71
Arroz à grega,colher de servir,60,18,75
Molho pra salada tipo caesar ( Masterfoods®),colher de sopa,13,2,25
"Carne de boi, picanha (Friboi®)",porção,100,"1,9",323
Linguiça toscana (Aurora®),1/2 unidade,50,"1,4",100
Salmão grelhado,porção,100,"0,4",171
"Carne de vaca, maminha",porção,100,0,159
"Carne de boi, lagarto",porção,100,0,117
"Carne de boi, paleta",porção,100,0,307
Carne de bezerro,porção,100,0,115
Maionese de legumes,colher de sopa cheia,40,6,51
Coração de frango,01 unidade média,5,0,7
