Alimento,Medida Usual,g ou mL,CHO (g),kcal
Apfelstrudell® (folheado de maçã),porção grande,220,59,396
Brezel (Pretzel),17 unidades pequenos,28,23,110
Cerveja,lata,350,12,143
Chucrute,xícara,120,5,24
Costela de porco defumada,pedaço pequeno,15,0,62
Couve (“Kraut”)®,folha média,20,1,10
Croissant,unidade grande,80,32,328
Cuca alemã,fatia,100,33,209
Falafel (bolinho de grâo de bico),porção,100,20,155
Geléia Hainich,colher de sopa,20,9,40
Joelho de porco (Einsbein®),porção,100,0,215
Kasespatzle® (macarrão com queijo),pegador,130,20,198
Linguiça calabresa defumada,unidade,40,0,146
Marreco recheado assado,1/4 unidade,100,3,258
Panqueca de batata (Kartoffelpuffer®),unidade média,30,22,97
Pão alemão integral (Wickbold®),1/2 unidade,50,17,99
Porco frito com rodelas de limão,porção,100,0,311
Salada de batatas (Kartoffelsalat®),colher de sopa cheia,30,5,82
Salsicha comum,unidade média,35,0,116
Salsichão (Wurst®),unidade média,100,3,312
Strudel de Amêndoas (Hungaria®),porção pequena,100,45,285
Strudel de Frango com Catupiry (Hungaria®),porção pequena,100,31,546
Strudel de Maçã (Hungaria®),porção pequena,100,30,157
Tarte de bacalhau,unidade média,90,27,282
Torta Alemâ,fatia pequena,50,16,192
Torta Floresta Negra,fatia pequena,50,22,133
Vinho branco seco,taça,150,0,99
