Alimento,Medida Usual,g ou mL,CHO (g),kcal
Algodão doce (Mavalério®),embalagem,35,35,140
Bala Delícia,unidade,5,4,20
Bala Jujuba,unidade,3,3,12
Bala macia,unidade,5,5,20
Beijinho,unidade pequena,6,3,25
Beijinho diet,unidade pequena,6,2,20
Bolinha de queijo,unidade pequena,10,3,27
Bolinho de Carne,unidade,50,8,67
Bolinho de Presunto e Queijo,unidade,50,12,73
Bolinho de Queijo,unidade,50,16,137
Bolo de Brigadeiro,fatia pequena,50,20,147
Bolo de Chocolate e Nozes,fatia pequena,50,17,175
Bolo de festa (recheio/cobertura),fatia média,100,54,320
Bolo de festa diet (recheio/cobertura),fatia média,80,20,220
Bolo Floresta Branca com Cereja,fatia pequena,50,19,183
Bolo Floresta Negra com Morango,fatia pequena,50,10,106
Bolo Merengue,fatia peqquena,50,11,116
Bolo Mousse de Chocolate,fatia pequena,50,20,173
Bombom Copinho de Torrone,unidade,10,6,54
Bombom de Brigadeiro,unidade,10,6,48
Bombom Flocos,unidade,10,6,52
Bombom Prestígio,unidade,10,5,51
Bombom Trufa de Cereja,unidade,10,6,45
Brigadeiro,unidade,10,6,36
Brigadeiro de Flocos,unidade,15,9,60
Brigadeiro de Morango,unidade,15,9,60
Brigadeiro diet,unidade pequena,10,4,25
Calda de chocolate,colher de sopa,10,5,31
Cajuzinho,unidade pequena,12,6,44
Chiclete,unidade,5,4,16
Coxinha de frango (festa),unidade pequena,10,4,37
Coxinha de frango,unidade grande,110,40,487
Croquete de Carne,unidade grande,55,21,190
Empada de Palmito,unidade,55,14,129
Empadinha,unidade pequena,12,4,56
Enrolado de Presunto e Queijo,unidade,40,15,114
M&M®,colher de sopa,12,9,61
Mini Bomba de Caramelo,unidade,10,3,25
Mini Bomba de Chocolate,unidade,10,2,23
Mini hamburguinho,unidade,60,15,123
Mini hot dog,unidade,60,15,165
Mini pizza,unidade,60,20,182
Mini Torta de Limão,unidade,10,5,32
Mini Torta de Maçã,unidade,10,3,21
Mini Torta de Morango,unidade,10,3,21
Olho de Sogra,unidade,10,5,34
Pastelzinho,unidade pequena,8,3,24
Pipoca doce,saco medio,20,20,95
Pipoca salgada,saco médio,20,14,90
Pirulito,unidade,20,19,74
Quiche de Presunto e Queijo,unidade,50,10,259
Refrigerante,copo duplo,240,24,96
Refrigerante zero,copo duplo,240,0,0
Risole de Queijo,unidade,50,8,112
Trufa de chocolate,unidade grande,30,15,140
